"character" "dialogue"
"464" "BATTY" "I like a man who stays put.  An admirable thing to be able to sustain yourself in these times. You live here all by yourself, do you?"
"465" "SEBASTIAN" "Well, no, not really.  There's Mr. Deetchum, he's the watchman, he lives on the first floor."
"466" "MARY" "We haven't found it easy, Mr. Sebastian."
"467" "SEBASTIAN" "How about breakfast, I was just going to make some."
"468" "BATTY" "If it wouldn't be too much of a bother... a little bite to eat would be..."
"469" "SEBASTIAN" "Oh, no bother, I'd be glad to."
"470" "BATTY" "Well, actually"
"471" "MARY" "We're famished."
"472" "SEBASTIAN" "Okay, then.  You make yourselves comfortable and I'll bring the food right out."
"473" "BATTY" "Charming."
"474" "PRIS" "Well?"
"475" "PRIS" "I want to know what's going on."
"476" "BATTY" "There's only three of us left."
"477" "PRIS" "Then we're stupid and we'll die."
"478" "BATTY" "Not if everybody is doing their job here at home.  How are things at home?"
"479" "PIG" "Home again, jiggidy jig."
"480" "PRIS" "I don't trust him.  I don't think he knows what he's doing."
"481" "BATTY" "He knows what he's doing."
"482" "MARY" "If he won't cooperate?"
"483" "BATTY" "Mr. Sebastian is a host who wants to be appreciated.  We'll appreciate him and he'll cooperate."
"484" "DECKARD" "How are you doing, old man?"
"485" "HOLDEN" "I'm great.  I mean, I know I'm not really great, but I feel just great.  How you like my new suit?"
"486" "DECKARD" "Well, you don't have to worry about getting it wrinkled."
"487" "HOLDEN" "Don't make me laugh.  It makes me pee."
"488" "DECKARD" "Sorry."
"489" "HOLDEN" "Hey, it's okay.  I like to pee. So how are you doing?"
"490" "DECKARD" "I'm doing okay."
"491" "HOLDEN" "From what I hear you're doing great.  Bryant tells me you're going like a god damn one-man army.  Making a lot of money, huh?"
"492" "DECKARD" "Yeah. But that's what I wanted to talk to you about."
"493" "HOLDEN" "Money?"
"494" "DECKARD" "No.  I got a problem."
"495" "HOLDEN" "Let's hear it."
"496" "DECKARD" "I think I'm starting to empathize with these Nexus-sixes."
"497" "DECKARD" "What's that?"
"498" "HOLDEN" "I'm taking a piss."
"499" "HOLDEN" "Let me ask you something, Deck. You been having intimate relations with one of these units?"
"500" "HOLDEN" "That's what I thought... one of the liabilities of the trade -- you has sex with your prey, old buddy.  That's bound to create problems, unless you're a black widow."
"501" "DECKARD" "What about -- not sex -- but love?"
"502" "HOLDEN" "Love is just another name for sex. Love is sexy and sex is lovely -- I don't care what you call it, an android can't have it."
"503" "DECKARD" "These aren't just..."
"504" "HOLDEN" "I know what they are, Deck -- Look, maybe they can pretend to feel, but far as the raw, hot emotions of the old heart -- no way."
"505" "HOLDEN" "Believe me, take it from an old pro, no matter how good we get, we're never gonna make an artificial anything that can feel.  It's a contradiction. You might as well go fuck your washing machine."
"506" "HOLDEN" "Just go out there and keep up the good work."
"507" "HOLDEN" "Got to save it, Deck, I'm getting sleepy.  It's been good talking to you."
"508" "DECKARD" "Thanks."
"509" "RACHAEL" "I told you I'd come back."
"510" "DECKARD" "You did?"
"511" "RACHAEL" "You didn't hear me.  You were sleeping."
"512" "RACHAEL" "Are you glad I'm here?"
"513" "RACHAEL" "Who is this?"
"514" "DECKARD" "Me and my dad."
"515" "RACHAEL" "Where is he?"
"516" "DECKARD" "Dead."
"517" "RACHAEL" "Oh."
"518" "RACHAEL" "How come you're not on the job?"
"519" "DECKARD" "I am.  Part of my job is to sit on a couch and try and figure things out."
"520" "RACHAEL" "How are you doing?"
"521" "DECKARD" "Not too good."
"522" "RACHAEL" "What do people do in the afternoon?"
"523" "DECKARD" "If they are smart, they take naps."
"524" "RACHAEL" "Do you dream?"
"525" "DECKARD" "Yeah.  Sometimes."
"526" "RACHAEL" "I wish I could."
"527" "DECKARD" "Wishing is a kind of dreaming."
"528" "RACHAEL" "I mean asleep."
"529" "RACHAEL" "Did you cry when your father died?"
"530" "DECKARD" "Yeah."
"531" "RACHAEL" "That's another thing I can't do."
"532" "RACHAEL" "Nobody is freer than when he dreams.  I read that."
"533" "DECKARD" "It wasn't very good last night, was it?"
"534" "RACHAEL" "I don't know, I have nothing to compare it to.  I guess I thought there was something more to it."
"535" "DECKARD" "What?"
"536" "RACHAEL" "I don't know... I think I missed something."
"537" "DECKARD" "Like?"
"538" "RACHAEL" "I'm not sure.  Is there a secret?"
"539" "DECKARD" "I don't know.  If there is I'd like to find it."
"540" "BATTY" "Why are you staring at us?"
"541" "SEBASTIAN" "You're just all so... so different."
"542" "BATTY" "What, Sebastian?"
"543" "SEBASTIAN" "You're androids."
"544" "PRIS" "What makes you think so?"
"545" "SEBASTIAN" "You're all so perfect."
"546" "SEBASTIAN" "What generation are you?"
"547" "BATTY" "Nexus - 6."
"548" "BATTY" "We can trust Sebastian, ladies. He's been working with mechanisms all his life.  He's a wizard and a very perceptive man."
"549" "SEBASTIAN" "Could you..."
"550" "SEBASTIAN" "Show me something?"
"551" "BATTY" "Like what?"
"552" "SEBASTIAN" "Like..."
"553" "BATTY" "We're not computers, Sebastian, we're physical."
"554" "PRIS" "I think, therefore I am."
"555" "BATTY" "Very good, Pris.  Now show him why."
"556" "BATTY" "We have a lot in common."
"557" "SEBASTIAN" "You mean that you can't come here and I can't go there?"
"558" "BATTY" "Not only that, but we have smiliar problems.  Accelerated decrepitude. But we don't want to die quite yet."
"559" "SEBASTIAN" "Of course not."
"560" "BATTY" "You could help us."
"561" "SEBASTIAN" "I don't know much about biomechanics, Roy.  I wish I did, but you're out of my league."
"562" "BATTY" "If we don't find help soon, Pris hasn't got long to live."
"563" "BATTY" "What about your friend, the man who owns this building?"
"564" "SEBASTIAN" "Dr. Tyrell?"
"565" "SEBASTIAN" "He's not really my friend.  I just do a job for him now and then."
"566" "BATTY" "Tyrell could help us, Sebastian."
"567" "SEBASTIAN" "He could?"
"568" "BATTY" "His company made us."
"569" "SEBASTIAN" "I'd be happy to mention it to him."
"570" "BATTY" "Be better if I could talk to him in person.  But he's not an easy man to get to."
"571" "SEBASTIAN" "No."
"572" "BATTY" "When do you deliver your project?"
"573" "SEBASTIAN" "This afternoon."
"574" "BATTY" "Will you help us?"
"575" "SEBASTIAN" "Yes."
"576" "BATTY" "I'm sure glad you found us, Sebastian.  What do you think, Mary?"
"577" "MARY" "I don't think there is another human being in this whole world who would have helped us."
"578" "BATTY" "Pris?"
"579" "BATTY" "You're our best and only friend."
"580" "SEBASTIAN" "Thank you."
"581" "RACHAEL" "When was the last time you cleaned this place?"
"582" "DECKARD" "Hmmm?"
"583" "RACHAEL" "Have you ever cleaned your apartment?"
"584" "DECKARD" "Don't be fooled by appearances."
"585" "RACHAEL" "It appears to be dirty -- why don't you get somebody?"
"586" "DECKARD" "Because they would ruin the arrangement."
"587" "RACHAEL" "They could clean around the arrangement."
"588" "DECKARD" "I don't like people snooping around my stuff."
"589" "DECKARD'S VOICE" "There's a vacuum in the front room closet is you wanna give it a try."
"590" "DECKARD" "Oh no, don't do that."
"591" "RACHAEL" "But if I don't plug it in how can I..."
"592" "DECKARD" "Never mind the plug, just go through the motions."
"593" "RACHAEL" "But then how can you..."
"594" "DECKARD" "I don't like the noise.  Just practice.  Practice makes perfect."
"595" "DECKARD" "I'm serious.  Go ahead.  Show me how you would do it."
"596" "DECKARD" "How about under the couch there. Come on."
"597" "RACHAEL" "This feels stupid."
"598" "DECKARD" "Good for a smart girl to feel stupid.  Part of your education."
"599" "RACHAEL" "You're sick, Deckard."
"600" "DECKARD" "I never felt better."
"601" "STYLES" "Okay, I'll take that now."
"602" "SEBASTIAN" "Wait!"
"603" "SEBASTIAN" "Can't fly without the pilot."
"604" "IAN" "Oh!"
"605" "IAN" "Papa!  Did you make this?"
"606" "TYRELL" "No.  We can make man, but not a griffon."
"607" "TYRELL" "Have to give the cottage industry a chance too."
"608" "TYRELL" "A friend of yours, Sebastian?"
"609" "SEBASTIAN" "Yes, this is someone who wants to talk to you, Dr. Tyrell."
"610" "BATTY" "The name is Batty.  Roy Batty."
"611" "TYRELL" "Oh?"
"612" "BATTY" "To act without understanding could lead to the very thing the act seeks to avoid."
"613" "BATTY" "A little talk it all I need."
"614" "TYRELL" "Would you like to talk in private then."
"615" "BATTY" "Yeah.  It might be better if we talk in private, Sebastian.  Why don't you go home."
"616" "TYRELL" "Here's your check, my boy.  Thank you."
"617" "SEBASTIAN" "Thank you, Dr. Tyrell.  I'll see you later."
"618" "SEBASTIAN" "Was everything okay?"
"619" "TYRELL" "Just beautiful."
"620" "TYRELL" "I'm surprised you didn't come to me sooner."
"621" "BATTY" "It's not an easy thing to meet your maker."
"622" "TYRELL" "And what can he do for you?"
"623" "BATTY" "Can the maker repair what he makes?"
"624" "TYRELL" "Would you like to be modified?"
"625" "BATTY" "Had in mind something a little more radical."
"626" "TYRELL" "What's the problem?"
"627" "BATTY" "Death."
"628" "TYRELL" "I'm afraid that's a little out of my..."
"629" "BATTY" "I want more life, fucker."
"630" "TYRELL" "Come here."
"631" "TYRELL" "Sit down."
"632" "TYRELL" "The facts of life.  I'll be blunt. To make an alteration in the evolvement of an organic life system, at least by men, makers or not, it fatal.  A coding sequence can't be revised once it's established."
"633" "BATTY" "Why?"
"634" "TYRELL" "Because by the second day of incubation any cells that have undergone reversion mutation give rise to revertant colonies -- like rats leaving a sinking ship.  The ship sinks."
"635" "BATTY" "What about E.M.S. recombination?"
"636" "TYRELL" "We've already tried it -- ethyl methane sulfonate is an alkylating agent and a potent mutagen -- it creates a virus so lethal the subject was destroyed before we left the table."
"637" "BATTY" "Then a repressor protein that blocks the operating cells."
"638" "TYRELL" "Wouldn't obstruct replication, but it does give rise to an error in replication, so that the newly formed DNA strand carries a mutation and you're got a virus again... but all this is academic -- you are made as good as we could make you."
"639" "BATTY" "But not to last."
"640" "TYRELL" "Put it this way.  Rolls Royces are made to last -- as least they were. But I'm afraid you're a Ferrari. A high strung racing car -- built to win, not to last."
"641" "TYRELL" "Also you're too valuable to experiment with."
"642" "BATTY" "I am?"
"643" "TYRELL" "The bast of all possible androids. We're proud of our prodigal son -- glad you're returned.  You're quite a prize."
"644" "BATTY" "I've done some questionable things."
"645" "TYRELL" "Also extraordinary things."
"646" "BATTY" "Nothing the God of biomechanics wouldn't let you in heaven for."
"647" "BATTY" "Could you tell me where the bathroom is?"
"648" "MRS. TYRELL" "May I help you?"
"649" "DECKARD (V.O.)" "She'd never seen the great outdoors. Never even seen books on the subject.  She went through everything I had, and we talked. And there were subjects we didn't discuss and they were words we didn't say, I couldn't say, like death, like future, like real.  But it was hard because she was curious and full of questions.  She was more alive than anyone I'd ever known."
"650" "RACHAEL" "You and I are good friends, huh?"
"651" "RACHAEL" "It's so easy."
"652" "RACHAEL" "Have you ever known anybody a long time?"
"653" "DECKARD" "You mean a woman?"
"654" "RACHAEL" "Uh-huh."
"655" "DECKARD" "What's a long time?"
"656" "RACHAEL" "Ten years."
"657" "DECKARD" "Nope.  Nobody could stand me that long."
"658" "DECKARD" "Yeah."
"659" "BRYANT" "This is Bryant.  Are you alone?"
"660" "DECKARD" "Yeah."
"661" "BRYANT" "She's not with you?"
"662" "DECKARD" "Who."
"663" "BRYANT" "Take a number.  Canapt 1700, tenth floor, Villa Vita District, Olympia South."
"664" "DECKARD" "Got it."
"665" "BRYANT" "Okay, here it is.  Eldon Tyrell, his family and half his staff were just massacred.  The cat is about to get out of the bag.  Pressure is definitely on.  The Nexus program is terminated.  When you finish there, locate Nexus designated Rachael and retire."
"666" "BRYANT" "If you don't, we will.  It has to be total, Deckard.  That's an order from as high as it comes.  Got it?"
"667" "DECKARD" "Yeah.  I got it."
"668" "BRYANT" "Go."
"669" "RACHAEL" "Why do you call it retire, why don't you call it murder?"
"670" "DECKARD" "Because it's not."
"671" "RACHAEL" "Don't you think anything that can suffer deserves to be considered?"
"672" "DECKARD" "Andies only simulate suffering -- if they're programmed for it."
"673" "RACHAEL" "Do you think I simulated what happened between us?"
"674" "DECKARD" "No, I don't."
"675" "DECKARD" "Don't leave here.  Don't open the door, don't answer the phone."
"676" "RACHAEL" "What difference will it make?"
"677" "DECKARD" "Just wait here."
"678" "RACHAEL" "You know what I think?"
"679" "DECKARD" "What?"
"680" "RACHAEL" "That some of the folks around here are more programmed then me."
"681" "RACHAEL" "You know what else I think?"
"682" "DECAKRD" "What?"
"683" "RACHAEL" "This was the best day of my life."
"684" "MARY" "Let's go while there is still time."
"685" "BATTY" "Where?"
"686" "MARY" "Anywhere."
"687" "BATTY" "What's the point?"
"688" "MARY" "Not to be trapped."
"689" "BATTY" "You underestimate the trap, Mary."
"690" "BATTY" "Where are you going, Sebastian?"
"691" "SEBASTIAN" "Just thought I'd..."
"692" "BATTY" "No, you stay here with us.  Out last night together."
"693" "BATTY" "Think of yourself as a light, Mary. Shine before you're turned off."
"694" "SEBASTIAN" "Someone is coming here."
"695" "BATTY" "One man. He must be good."
"696" "MARY" "Then go get him."
"697" "BATTY" "That wouldn't be very sporting."
"698" "PRIS" "I want to do it."
"699" "BATTY" "Okay, but don't kill him.  Save a little for everybody.  A masterpiece."
"700" "BATTY" "Turn out the lights, Pris."
"701" "PRIS" "Naughty, naughty."
"702" "DECKARD" "Hello, Roy."
"703" "BATTY" "You wanna play?"
"704" "BATTY" "Not very sporting to fire on an unarmed opponent.  I thought you were supposed to be good.  Aren't you the man?!"
"705" "BATTY" "This is how we do it up there, lad! Come on!"
"706" "BATTY" "Not hurt, are you?  You better get it up or I'm going to have to kill you.  Unless you're alive you can't play.  And if you don't play, you don't get to be alive."
"707" "BATTY" "That's the spirit."
"708" "BATTY'S VOICE" "Come on, Deckard, show me what you got!  I'm right here on the other side of the door.  But you gotta shoot straight 'cause I'm fast!"
"709" "BATTY" "Straight doesn't seem to be good enough."
"710" "BATTY" "You don't have a chance, do you?"
"711" "BATTY" "Looks like I'm gonna have to scale it down for you.  Give you a handicap.  I won't run through any more walls.  Okay?  I promise to use the doors.  Okay?"
"712" "BATTY" "Come on, let's use that brain!"
"713" "BATTY" "Think!  We need a little resilience around here!"
"714" "BATTY" "Where are those balls of yours?! Let's see a little bravery!"
"715" "BATTY" "That was irrational of me -- not to mention unsportsmanlike.  Won't happen again."
"716" "BATTY" "I'll be down the hall when you're ready."
"717" "BATTY" "Where you going?"
"718" "BATTY" "No cheating.  A promise is a promise.  I'll honor the handicapped, but we gotta play on the top floor.  You go get your laser gun now.  And I'll give you a few seconds before I come."
"719" "BATTY'S VOICE" "One!"
"720" "BATTY'S VOICE" "Two!"
"721" "BATTY'S VOICE" "No fair jumping through holes.  You might get hurt doing that!  THREE!"
"722" "BATTY" "Five!"
"723" "BATTY" "Six!"
"724" "BATTY'S VOICE" "Seven!"
"725" "BATTY" "Oh, I wonder where he is.  Not in here, I don't think.  Eight!"
"726" "BATTY" "Maybe here.  Doesn't sound like it.  Nine!"
"727" "BATTY" "Ten!"
"728" "BATTY" "One point for you."
"729" "BATTY" "Ho ho!  Try it again!"
"730" "BATTY" "What's wrong?  Don't you like me? I'm what we've made!"
"731" "BATTY" "What's wrong?  Aren't you a lover of Faster, Bigger and Better?!"
"732" "BATTY" "It's time to die."
"733" "BATTY" "Ah!"
"734" "BATTY" "That's for you."
"735" "BATTY" "Stick it in your ear and push. If that doesn't work, try the eye."
"736" "BATTY" "Believe me, it'll be better for you than what I'm about to do."
"737" "BATTY" "Well?"
"738" "BATTY" "Crap."
"739" "DECKARD (V.O.)" "She wanted to go to a place I knew. Out of the city.  Like one of those pictures she saw.  Where there were trees but no buildings."
"740" "DECKARD (V.O.)" "We had a good time.  She told me a funny story and I taught her a song.  A song about monkeys and elephants.  And it made us laugh so hard we couldn't sing."
"741" "DECKARD (V.O.)" "I told myself over and over again, if I hadn't done it, they would have. I didn't go back to the city, not that city, I didn't want the job. She said the great advantage of being alive was to have a choice. And she chose.  And a part of me was almost glad.  Not because she was gone but because this way they could never touch her. As for Tyrell -- he was murdered, but he wasn't dead.  For a long time I wanted to kill him.  But what was the point?  There were too many Tyrells.  But only one Rachael. Maybe real and unreal could never be separated.  The secret never found.  But I got as close with her as I'd ever come to it.  She'd stay with me a long time.  I guess we made each other real."
