"character" "dialogue"
"34" "BLOND MAN" "Thanks a lot, asshole."
"35" "MAN" "Hot damn, I'm throwin' rocks tonight.   Mark it, Dude."
"36" "WALTER" "This was a valued rug."
"37" "WALTER" "This was, uh--"
"38" "DUDE" "Yeah man, it really tied the room  together--"
"39" "WALTER" "This was a valued, uh."
"40" "DONNY" "What tied the room together, Dude?"
"41" "WALTER" "Were you listening to the story,  Donny?"
"42" "DONNY" "What--"
"43" "WALTER" "Were you listening to the Dude's  story?"
"44" "DONNY" "I was bowling--"
"45" "WALTER" "So you have no frame of reference,  Donny.  You're like a child who  wanders in in the middle of a movie  and wants to know--"
"46" "DUDE" "What's your point, Walter?"
"47" "WALTER" "There's no fucking reason--here's my  point, Dude--there's no fucking reason--"
"48" "DONNY" "Yeah Walter, what's your point?"
"49" "WALTER" "Huh?"
"50" "DUDE" "What's the point of--we all know who  was at fault, so what the fuck are  you talking about?"
"51" "WALTER" "Huh?  No!  What the fuck are you  talking--I'm not--we're talking about  unchecked aggression here--"
"52" "DONNY" "What the fuck is he talking about?"
"53" "DUDE" "My rug."
"54" "WALTER" "Forget it, Donny.  You're out of  your element."
"55" "DUDE" "This Chinaman who peed on my rug, I  can't go give him a bill so what the  fuck are you talking about?"
"56" "WALTER" "What the fuck are you talking about?!   This Chinaman is not the issue!  I'm  talking about drawing a line in the  sand, Dude.  Across this line you do  not, uh--and also, Dude, Chinaman is  not the preferred, uh... Asian-  American.  Please."
"57" "DUDE" "Walter, this is not a guy who built  the railroads, here, this is a guy  who peed on my--"
"58" "WALTER" "What the fuck are you--"
"59" "DUDE" "Walter, he peed on my rug--"
"60" "DONNY" "He peed on the Dude's rug--"
"61" "WALTER" "YOU'RE OUT OF YOUR ELEMENT!  This  Chinaman is not the issue, Dude."
"62" "DUDE" "So who--"
"63" "WALTER" "Jeff Lebowski.  Come on.  This other  Jeffrey Lebowski.  The millionaire.   He's gonna be easier to find anyway  than these two, uh. these two... And  he has the wealth, uh, the resources  obviously, and there is no reason,  no FUCKING reason, why his wife should  go out and owe money and they pee on  your rug.  Am I wrong?"
"64" "DUDE" "No, but--"
"65" "WALTER" "Am I wrong!"
"66" "DUDE" "Yeah, but--"
"67" "WALTER" "Okay. That, uh."
"68" "WALTER" "That rug really tied the room  together, did it not?"
"69" "DUDE" "Fuckin' A."
"70" "DONNY" "And this guy peed on it."
"71" "WALTER" "Donny!  Please!"
"72" "DUDE" "Yeah, I could find this Lebowski guy--"
"73" "DONNY" "His name is Lebowski?  That's your  name, Dude!"
"74" "DUDE" "Yeah, this is the guy, this guy should  compensate me for the fucking rug.   I mean his wife goes out and owes  money and they pee on my rug."
"75" "WALTER" "Thaaat's right Dude; they pee on  your fucking Rug."
"76" "YOUNG MAN" "And this is the study.  You can see  the various commendations, honorary  degrees, et cetera."
"77" "DUDE" "Yes, uh, very impressive."
"78" "YOUNG MAN" "Please, feel free to inspect them."
"79" "DUDE" "I'm not really, uh."
"80" "YOUNG MAN" "Please!  Please!"
"81" "DUDE" "Uh-huh."
"82" "YOUNG MAN" "That's the key to the city of  Pasadena, which Mr. Lebowski was  given two years ago in recognition  of his various civic, uh."
"83" "DUDE" "Uh-huh."
"84" "YOUNG MAN" "That's a Los Angeles Chamber of  Commerce Business Achiever award,  which is given--not necessarily given  every year!  Given only when there's  a worthy, somebody especially--"
"85" "DUDE" "Hey, is this him with Nancy?"
"86" "YOUNG MAN" "That is indeed Mr. Lebowski with the  first lady, yes, taken when--"
"87" "DUDE" "Lebowski on the right?"
"88" "YOUNG MAN" "Of course, Mr. Lebowski on the right,  Mrs. Reagan on the left, taken when--"
"89" "DUDE" "He's handicapped, huh?"
"90" "YOUNG MAN" "Mr. Lebowski is disabled, yes.  And  this picture was taken when Mrs.   Reagan was first lady of the nation,  yes, yes? Not of California."
"91" "DUDE" "Far out."
"92" "YOUNG MAN" "And in fact he met privately with  the President, though unfortunately  there wasn't time for a photo  opportunity."
"93" "DUDE" "Nancy's pretty good."
"94" "YOUNG MAN" "Wonderful woman.  We were very--"
"95" "DUDE" "Are these."
"96" "YOUNG MAN" "These are Mr. Lebowski's children,  so to speak--"
"97" "DUDE" "Different mothers, huh?"
"98" "YOUNG MAN" "No, they--"
"99" "DUDE" "I guess he's pretty, uh, racially  pretty cool--"
"100" "YOUNG MAN" "They're not his, heh-heh, they're  not literally his children; they're  the Little Lebowski Urban Achievers,  inner-city children of promise but  without the--"
"101" "DUDE" "I see."
"102" "YOUNG MAN" "--without the means for higher  education, so Mr. Lebowski has  committed to sending all of them to  college."
"103" "DUDE" "Jeez.  Think he's got room for one  more?"
"104" "YOUNG MAN" "One--oh!  Heh-heh.  You never went  to college?"
"105" "DUDE" "Well, yeah I did, but I spent most  of my time occupying various, um,  administration buildings--"
"106" "YOUNG MAN" "Heh-heh--"
"107" "DUDE" "--smoking thai-stick, breaking into  the ROTC--"
"108" "YOUNG MAN" "Yes, heh--"
"109" "DUDE" "--and bowling.  I'll tell you the  truth, Brandt, I don't remember most  of it.--Jeez!  Fuck me!"
"110" "LEBOWSKI" "Okay sir, you're a Lebowski, I'm a  Lebowski, that's terrific, I'm very  busy so what can I do for you?"
"111" "DUDE" "Well sir, it's this rug I have, really  tied the room together-"
"112" "LEBOWSKI" "You told Brandt on the phone, he  told me.  So where do I fit in?"
"113" "DUDE" "Well they were looking for you, these  two guys, they were trying to--"
"114" "LEBOWSKI" "I'll say it again, all right?  You  told Brandt.  He told me.  I know  what happened. Yes?  Yes?"
"115" "DUDE" "So you know they were trying to piss  on your rug--"
"116" "LEBOWSKI" "Did I urinate on your rug?"
"117" "DUDE" "You mean, did you personally come  and pee on my--"
"118" "LEBOWSKI" "Hello!  Do you speak English?  Parla  usted Inglese?  I'll say it again.   Did I urinate on your rug?"
"119" "DUDE" "Well no, like I said, Woo peed on  the rug--"
"120" "LEBOWSKI" "Hello!  Hello!  So every time--I  just want to understand this, sir--  every time a rug is micturated upon  in this fair city, I have to  compensate the--"
"121" "DUDE" "Come on, man, I'm not trying to scam  anybody here, I'm just--"
"122" "LEBOWSKI" "You're just looking for a handout  like every other--are you employed,  Mr. Lebowski?"
"123" "DUDE" "Look, let me explain something.  I'm  not Mr. Lebowski; you're Mr.   Lebowski.  I'm the Dude.  So that's  what you call me.  That, or Duder.   His Dudeness.  Or El Duderino, if,  you know, you're not into the whole  brevity thing--"
"124" "LEBOWSKI" "Are you employed, sir?"
"125" "DUDE" "Employed?"
"126" "LEBOWSKI" "You don't go out and make a living  dressed like that in the middle of a  weekday."
"127" "DUDE" "Is this a--what day is this?"
"128" "LEBOWSKI" "But I do work, so if you don't mind--"
"129" "DUDE" "No, look.  I do mind.  The Dude minds.   This will not stand, ya know, this  will not stand, man.  I mean, if  your wife owes--"
"130" "LEBOWSKI" "My wife is not the issue here. I  hope that my wife will someday learn  to live on her allowance, which is  ample, but if she doesn't, sir, that  will be her problem, not mine, just  as your rug is your problem, just as  every bum's lot in life is his own  responsibility regardless of whom he  chooses to blame.  I didn't blame  anyone for the loss of my legs, some  chinaman in Korea took them from me  but I went out and achieved anyway.   I can't solve your problems, sir,  only you can."
"131" "DUDE" "Ah fuck it."
"132" "LEBOWSKI" "Sure!  Fuck it!  That's your answer!   Tattoo it on your forehead!  Your  answer to everything!"
"133" "LEBOWSKI" "Your "revolution" is over, Mr.   Lebowski!  Condolences!  The bums  lost!"
"134" "LEBOWSKI" "...My advice is, do what your parents  did!  Get a job, sir!  The bums will  always lose-- do you hear me,  Lebowski?  THE BUMS WILL ALWAYS--"
"135" "HALLWAY" "--in a high coffered hallway.  Brandt  is approaching."
"136" "BRANDT" "How was your meeting, Mr. Lebowski?"
"137" "DUDE" "Okay.  The old man told me to take  any rug in the house."
"138" "BRANDT" "Manolo will load it into your car  for you, uh, Dude."
"139" "DUDE" "It's the LeBaron."
"140" "BRANDT" "Well, enjoy, and perhaps we'll see  you again some time, Dude."
"141" "DUDE" "Yeah sure, if I'm ever in the  neighborhood, need to use the john."
"142" "YOUNG WOMAN" "Blow on them."
"143" "DUDE" "Huh?"
"144" "YOUNG WOMAN" "G'ahead.  Blow."
"145" "DUDE" "You want me to blow on your toes?"
"146" "YOUNG WOMAN" "Uh-huh... I can't blow that far."
"147" "DUDE" "You sure he won't mind?"
"148" "YOUNG WOMAN" "Dieter doesn't care about anything.   He's a nihilist."
"149" "DUDE" "Practicing?"
"150" "YOUNG WOMAN" "You're not blowing."
"151" "BRANDT" "Our guest has to be getting along,  Mrs. Lebowski."
"152" "DUDE" "You're Bunny?"
"153" "BUNNY" "I'll suck your cock for a thousand  dollars."
"154" "BRANDT" "Ha-ha-ha-ha!  Wonderful woman.  Very  free-spirited.  We're all very fond  of her."
"155" "BUNNY" "Brandt can't watch though.  Or he  has to pay a hundred."
"156" "BRANDT" "Ha-ha-ha-ha-ha!  That's marvelous."
"157" "DUDE" "I'm just gonna find a cash machine."
"158" "DONNY" "Grasshopper Dude--They're dead in  the water!!"
"159" "DUDE" "Your maples, Carl."
"160" "WALTER" "Way to go, Dude.  If you will it, it  is no dream."
"161" "DUDE" "You're fucking twenty minutes late.   What the fuck is that?"
"162" "WALTER" "Theodore Herzel."
"163" "DUDE" "Huh?"
"164" "WALTER" "State of Israel.  If you will it,  Dude, it is no--"
"165" "DUDE" "What the fuck're you talking about?   The carrier.  What's in the fucking  carrier?"
"166" "WALTER" "Huh?  Oh--Cynthia's Pomeranian.   Can't leave him home alone or he  eats the furniture."
"167" "DUDE" "What the fuck are you--"
"168" "WALTER" "I'm saying, Cynthia's Pomeranian.   I'm looking after it while Cynthia  and Marty Ackerman are in Hawaii."
"169" "DUDE" "You brought a fucking Pomeranian  bowling?"
"170" "WALTER" "What do you mean "brought it bowling"?   I didn't rent it shoes.  I'm not  buying it a fucking beer.  He's not  gonna take your fucking turn, Dude."
"171" "DUDE" "Hey, man, if my fucking ex-wife asked  me to take care of her fucking dog  while she and her boyfriend went to  Honolulu, I'd tell her to go fuck  herself.  Why can't she board it?"
"172" "WALTER" "First of all, Dude, you don't have  an ex, secondly, it's a fucking show  dog with fucking papers.  You can't  board it.  It gets upset, its hair  falls out."
"173" "DUDE" "Hey man--"
"174" "WALTER" "Fucking dog has papers, Dude.--Over  the line!"
"175" "SMOKEY" "Huh?"
"176" "WALTER" "Over the line, Smokey!  I'm sorry.   That's a foul."
"177" "SMOKEY" "Bullshit.  Eight, Dude."
"178" "WALTER" "Excuse me!  Mark it zero.  Next frame."
"179" "SMOKEY" "Bullshit. Walter!"
"180" "WALTER" "This is not Nam.  This is bowling.   There are rules."
"181" "DUDE" "Come on Walter, it's just--it's  Smokey.  So his toe slipped over a  little, it's just a game."
"182" "WALTER" "This is a league game.  This  determines who enters the next round-  robin, am I wrong?"
"183" "SMOKEY" "Yeah, but--"
"184" "WALTER" "Am I wrong!?"
"185" "SMOKEY" "Yeah, but I wasn't over.  Gimme the  marker, Dude, I'm marking it an eight."
"186" "WALTER" "Smokey my friend, you're entering a  world of pain."
"187" "DUDE" "Hey Walter--"
"188" "WALTER" "Mark that frame an eight, you're  entering a world of pain."
"189" "SMOKEY" "I'm not--"
"190" "WALTER" "A world of pain."
"191" "SMOKEY" "Look Dude, I don't hold with this.   This guy is your partner, you should--"
"192" "WALTER" "HAS THE WHOLE WORLD GONE CRAZY?  AM  I THE ONLY ONE HERE WHO GIVES A SHIT  ABOUT THE RULES?  MARK IT ZERO!"
"193" "DUDE" "Walter, they're calling the cops,  put the piece away."
"194" "WALTER" "MARK IT ZERO!"
"195" "SMOKEY" "Walter--"
"196" "WALTER" "YOU THINK I'M FUCKING AROUND HERE?   MARK IT ZERO!!"
"197" "SMOKEY" "All right!  There it is!  It's fucking  zero!"
"198" "SMOKEY" "You happy, you crazy fuck?"
"199" "WALTER" "This is a league game, Smokey!"
"200" "DUDE" "Walter, you can't do that.  These  guys're like me, they're pacificists.   Smokey was a conscientious objector."
"201" "WALTER" "You know Dude, I myself dabbled with  pacifism at one point.  Not in Nam,  of course--"
"202" "DUDE" "And you know Smokey has emotional  problems!"
"203" "WALTER" "You mean--beyond pacifism?"
"204" "DUDE" "He's fragile, man!  He's very fragile!"
"205" "WALTER" "Huh.  I did not know that.  Well,  it's water under the bridge.  And we  do enter the next round-robin, am I  wrong?"
"206" "DUDE" "No, you're not wrong--"
"207" "WALTER" "Am I wrong!"
"208" "DUDE" "You're not wrong, Walter, you're  just an asshole."
"209" "WALTER" "Okay then.  We play Quintana and  O'Brien next week.  They'll be  pushovers."
"210" "DUDE" "Just, just take it easy, Walter."
"211" "WALTER" "That's your answer to everything,  Dude.  And let me point out--pacifism  is not--look at our current situation  with that camelfucker in Iraq--  pacifism is not something to hide  behind."
"212" "DUDE" "Well, just take 't easy, man."
"213" "WALTER" "I'm perfectly calm, Dude."
"214" "DUDE" "Yeah?  Wavin' a gun around?!"
"215" "WALTER" "Calmer than you are."
"216" "DUDE" "Just take it easy, man!"
"217" "WALTER" "Calmer than you are."
"218" "VOICE" "Dude, this is Smokey.  Look, I don't  wanna be a hard-on about this, and I  know it wasn't your fault, but I  just thought it was fair to tell you  that Gene and I will be submitting  this to the League and asking them  to set aside the round.  Or maybe  forfeit it to us--"
"219" "DUDE" "Shit!"
"220" "VOICE" "--so, like I say, just thought, you  know, fair warning.  Tell Walter."
"221" "ANOTHER VOICE" "Mr. Lebowski, this is Brandt at, uh,  well--at Mr. Lebowski's office.   Please call us as soon as is  convenient."
"222" "ANOTHER VOICE" "Mr. Lebowski, this is Fred Dynarski  with the Southern Cal Bowling League.   I just got a, an informal report,  uh, that a uh, a member of your team,  uh, Walter Sobchak, drew a loaded  weapon during league play--"
"223" "DUDE" "Hiya Allan."
"224" "ALLAN" "Dude, I finally got the venue I  wanted.  I'm performing my dance  quintet--you know, my cycle--at Crane  Jackson's Fountain Street Theatre on  Tuesday night, and I'd love it if  you came and gave me notes."
"225" "DUDE" "Sure Allan, I'll be there."
"226" "ALLAN" "Dude, uh, tomorrow is already the  tenth."
"227" "DUDE" "Yeah, yeah I know. Okay."
"228" "ALLAN" "Just, uh, just slip the rent under  my door."
"229" "DUDE" "Yeah, okay."
"230" "VOICE" "--serious infraction, and examine  your standing.  Thank you.  Beep."
"231" "VOICE" "Mr. Lebowski, Brandt again.  Please  do call us when you get in and I'll  send the limo.  Let me assure you--I  hope you're not avoiding this call  because of the rug, which, I assure  you, is not a problem.  We need your  help and, uh--well we would very  much like to see you.  Thank you.   It's Brandt."
"232" "BRANDT" "We've had some terrible news.  Mr.   Lebowski is in seclusion in the West  Wing."
"233" "DUDE" "Huh."
"234" "BRANDT" "Mr. Lebowski."
"235" "LEBOWSKI" "It's funny.  I can look back on a  life of achievement, on challenges  met, competitors bested, obstacles  overcome.  I've accomplished more  than most men, and without the use  of my legs.  What... What makes a  man, Mr. Lebowski?"
"236" "DUDE" "Dude."
"237" "LEBOWSKI" "Huh?"
"238" "DUDE" "I don't know, sir."
"239" "LEBOWSKI" "Is it... is it, being prepared to do  the right thing?  Whatever the price?   Isn't that what makes a man?"
"240" "DUDE" "Sure.  That and a pair of testicles."
"241" "LEBOWSKI" "You're joking.  But perhaps you're  right."
"242" "DUDE" "Mind if I smoke a jay?"
"243" "LEBOWSKI" "Bunny."
"244" "DUDE" "'Scuse me?"
"245" "LEBOWSKI" "Bunny Lebowski... She is the light  of my life.  Are you surprised at my  tears, sir?"
"246" "DUDE" "Fuckin' A."
"247" "LEBOWSKI" "Strong men also cry... Strong men  also cry."
"248" "LEBOWSKI" "I received this fax this morning."
"249" "LEBOWSKI" "As you can see, it is a ransom note.   Sent by cowards.  Men who are unable  to achieve on a level field of play.   Men who will not sign their names.   Weaklings.  Bums."
"250" "DUDE" "Bummer."
"251" "LEBOWSKI" "Brandt will fill you in on the  details."
"252" "BRANDT" "Mr. Lebowski is prepared to make a  generous offer to you to act as  courier once we get instructions for  the money."
"253" "DUDE" "Why me, man?"
"254" "BRANDT" "He suspects that the culprits might  be the very people who, uh, soiled  your rug, and you're in a unique  position to confirm or, uh, disconfirm  that suspicion."
"255" "DUDE" "So he thinks it's the carpet-pissers,  huh?"
"256" "BRANDT" "Well Dude, we just don't know."
"257" "DUDE" "Fucking Quintana--that creep can  roll, man--"
"258" "WALTER" "Yeah, but he's a fucking pervert,  Dude."
"259" "DUDE" "Huh?"
"260" "WALTER" "The man is a sex offender.  With a  record.  Spent six months in Chino  for exposing himself to an eight-  year-old."
"261" "DUDE" "Huh."
"262" "WALTER" "When he moved down to Venice he had  to go door-to-door to tell everyone  he's a pederast."
"263" "DONNY" "What's a pederast, Walter?"
"264" "WALTER" "Shut the fuck up, Donny."
"265" "WALTER" "Anyway.  How much they offer you?"
"266" "DUDE" "Twenty grand.  And of course I still  keep the rug."
"267" "WALTER" "Just for making the hand-off?"
"268" "DUDE" "Yeah."
"269" "DUDE" "...They gave Dude a beeper, so  whenever these guys call--"
"270" "WALTER" "What if it's during a game?"
"271" "DUDE" "I told him if it was during league  play--"
"272" "DONNY" "If what's during league play?"
"273" "WALTER" "Life does not stop and start at your  convenience, you miserable piece of  shit."
"274" "DONNY" "What's wrong with Walter, Dude?"
"275" "DUDE" "I figure it's easy money, it's all  pretty harmless.  I mean she probably  kidnapped herself."
"276" "WALTER" "Huh?"
"277" "DONNY" "What do you mean, Dude?"
"278" "DUDE" "Rug-peers did not do this.  I mean  look at it.  Young trophy wife.   Marries a guy for money but figures  he isn't giving her enough.  She  owes money all over town--"
"279" "WALTER" "That... fucking... bitch!"
"280" "DUDE" "It's all a goddamn fake.  Like Lenin  said, look for the person who will  benefit.  And you will, uh, you know,  you'll, uh, you know what I'm trying  to say--"
"281" "DONNY" "I am the Walrus."
"282" "WALTER" "That fucking bitch!"
"283" "DUDE" "Yeah."
"284" "DONNY" "I am the Walrus."
"285" "WALTER" "Shut the fuck up, Donny!  V.I. Lenin!   Vladimir Ilyich Ulyanov!"
"286" "DONNY" "What the fuck is he talking about?"
"287" "WALTER" "That's fucking exactly what happened,  Dude!  That makes me fucking SICK!"
"288" "DUDE" "Yeah, well, what do you care, Walter?"
"289" "DONNY" "Yeah Dude, why is Walter so pissed  off?"
"290" "WALTER" "Those rich fucks!  This whole fucking  thing--I did not watch my buddies  die face down in the muck so that  this fucking strumpet--"
"291" "DUDE" "I don't see any connection to Vietnam,  Walter."
"292" "WALTER" "Well, there isn't a literal  connection, Dude."
"293" "DUDE" "Walter, face it, there isn't any  connection.  It's your roll."
"294" "WALTER" "Have it your way.  The point is--"
"295" "DUDE" "It's your roll--"
"296" "WALTER" "The fucking point is--"
"297" "DUDE" "It's your roll."
"298" "VOICE" "Are you ready to be fucked, man?"
"299" "QUINTANA" "I see you rolled your way into the  semis.  Deos mio, man.  Seamus and  me, we're gonna fuck you up."
"300" "DUDE" "Yeah well, that's just, ya know,  like, your opinion, man."
"301" "QUINTANA" "Let me tell you something, bendeco.   You pull any your crazy shit with  us, you flash a piece out on the  lanes, I'll take it away from you  and stick it up your ass and pull  the fucking trigger 'til it goes  "click"."
"302" "DUDE" "Jesus."
"303" "QUINTANA" "You said it, man.  Nobody fucks with  the Jesus."
"304" "WALTER" "Eight-year-olds, Dude."
"305" "DUDE" "Oh man."
"306" "BRANDT" "They called about eighty minutes  ago.  They want you to take the money  and drive north on the 405.  They'll  call you on the portable phone with  instructions in about forty minutes.   One person only or I'd go with you.   They were very clear on that: one  person only.  What happened to your  jaw?"
"307" "DUDE" "Oh, nothin', you know."
"308" "BRANDT" "Here's the money, and the phone.   Please, Dude, follow whatever  instructions they give."
"309" "DUDE" "Uh-huh."
"310" "BRANDT" "Her life is in your hands."
"311" "DUDE" "Oh, man, don't say that.."
"312" "BRANDT" "Mr. Lebowski asked me to repeat that:  Her life is in your hands."
"313" "DUDE" "Shit."
"314" "BRANDT" "Her life is in your hands, Dude.   And report back to us as soon as  it's done."
"315" "WALTER" "Take the ringer.  I'll drive."
"316" "DUDE" "The what?"
"317" "WALTER" "The ringer!  The ringer, Dude!  Have  they called yet?"
"318" "DUDE" "What the hell is this?"
"319" "WALTER" "My dirty undies.  Laundry, Dude.   The whites."
"320" "DUDE" "Agh--"
"321" "DUDE" "Walter, I'm sure there's a reason  you brought your dirty undies--"
"322" "WALTER" "Thaaaat's right, Dude.  The weight.   The ringer can't look empty."
"323" "DUDE" "Walter--what the fuck are you  thinking?"
"324" "WALTER" "Well you're right, Dude, I got to  thinking.  I got to thinking why  should we settle for a measly fucking  twenty grand--"
"325" "DUDE" "We?  What the fuck we?  You said you  just wanted to come along--"
"326" "WALTER" "My point, Dude, is why should we  settle for twenty grand when we can  keep the entire million.  Am I wrong?"
"327" "DUDE" "Yes you're wrong.  This isn't a  fucking game, Walter--"
"328" "WALTER" "It is a fucking game.  You said so  yourself, Dude--she kidnapped herself--"
"329" "DUDE '" "Yeah, but--"
"330" "DUDE" "Dude here."
"331" "VOICE" "Who is this?"
"332" "DUDE" "Dude the Bagman.  Where do you want  us to go?"
"333" "VOICE" "...Us?"
"334" "DUDE" "Shit... Uh, yeah, you know, me and  the driver.  I'm not handling the  money and driving the car and talking  on the phone all by my fucking--"
"335" "VOICE" "Shut the fuck up. Hello?"
"336" "DUDE" "Yeah?"
"337" "VOICE" "Okay, listen--"
"338" "WALTER" "Dude, are you fucking this up?"
"339" "VOICE" "Who is that?"
"340" "DUDE" "The driver man, I told you--"
"341" "DUDE" "Oh shit.  Walter."
"342" "WALTER" "What the fuck is going on there?"
"343" "DUDE" "They hung up, Walter!  You fucked it  up!  You fucked it up!  Her life was  in our hands!"
"344" "WALTER" "Easy, Dude."
"345" "DUDE" "We're screwed now!  We don't get  shit and they're gonna kill her!   We're fucked, Walter!"
"346" "WALTER" "Dude, nothing is fucked.  Come on.   You're being very unDude.  They'll  call back.  Look, she kidnapped her--"
"347" "WALTER" "Ya see?  Nothing is fucked up here,  Dude.  Nothing is fucked.  These  guys are fucking amateurs--"
"348" "DUDE" "Shutup, Walter!  Don't fucking say  peep when I'm doing business here."
"349" "WALTER" "Okay Dude.  Have it your way."
"350" "WALTER" "But they're amateurs."
"351" "DUDE" "Dude here."
"352" "VOICE" "Okay, vee proceed.  But only if there  is no funny stuff."
"353" "DUDE" "Yeah."
"354" "VOICE" "So no funny stuff.  Okay?"
"355" "DUDE" "Hey, just tell me where the fuck you  want us to go."
"356" "DUDE" "That was the sign."
"357" "WALTER" "Yeah.  So as long as we get her back,  nobody's in a position to complain.   And we keep the baksheesh."
"358" "DUDE" "Terrific, Walter.  But you haven't  told me how we get her back.  Where  is she?"
"359" "WALTER" "That's the simple part, Dude.  When  we make the handoff, I grab the guy  and beat it out of him."
"360" "WALTER" "...Huh?"
"361" "DUDE" "Yeah.  That's a great plan, Walter.   That's fucking ingenious, if I  understand it correctly.  That's a  Swiss fucking watch."
"362" "WALTER" "Thaaat's right, Dude.  The beauty of  this is its simplicity. If the plan  gets too complex something always  goes wrong.  If there's one thing I  learned in Nam--"
"363" "DUDE" "Dude."
"364" "VOICE" "You are approaching a vooden britch.   When you cross it you srow ze bag  from ze left vindow of ze moving  kar.  Do not slow down.  Vee vatch  you."
"365" "DUDE" "FUCK."
"366" "WALTER" "What'd he say?  Where's the hand-  off?"
"367" "DUDE" "There is no fucking hand-off, Walter!   At a wooden bridge we throw the money  out of the car!"
"368" "WALTER" "Huh?"
"369" "DUDE" "We throw the money out of the moving  car!"
"370" "WALTER" "We can't do that, Dude.  That fucks  up our plan."
"371" "DUDE" "Well call them up and explain it to  'em, Walter!  Your plan is so fucking  simple, I'm sure they'd fucking  understand it!  That's the beauty of  it Walter!"
"372" "WALTER" "Wooden bridge, huh?"
"373" "DUDE" "I'm throwing the money, Walter!   We're not fucking around!"
"374" "WALTER" "The bridge is coming up!  Gimme the  ringer, Dude!  Chop-chop!"
"375" "DUDE" "Fuck that!  I love you, Walter, but  sooner or later you're gonna have to  face the fact that you're a goddamn  moron."
"376" "WALTER" "Okay, Dude.  No time to argue.  Here's  the bridge--"
"377" "DUDE" "Walter!"
"378" "WALTER" "Your wheel, Dude!  I'm rolling out!"
"379" "DUDE" "What the fuck?"
"380" "WALTER" "Your wheel!  At fifteen em-pee-aitch  I roll out!  I double back, grab one  of 'em and beat it out of him!  The  uzi!"
"381" "DUDE" "Uzi?"
"382" "WALTER" "You didn't think I was rolling out  of here naked!"
"383" "DUDE" "Walter, please--"
"384" "WALTER" "Fifteen!  This is it, Dude!  Let's  take that hill!"
"385" "DUDE" "WE HAVE IT!  WE HAVE IT!!"
"386" "DUDE" "WE HAVE IT!!... We have it!"
"387" "WALTER" "Ahh fuck it, let's go bowling."
"388" "WALTER" "Aitz chaim he, Dude.  As the ex used  to say."
