"character" "dialogue"
"140" "JEAN" "Yah, he's still here - I'll catch him for ya."
"141" "JEAN" "...  Hon?"
"142" "VOICE" "Yah."
"143" "JEAN" "It's Dad."
"144" "VOICE" "Yah..."
"145" "JERRY" "...  Yah, okay..."
"146" "SCOTT" "Look, Dad, there is no fucking way -"
"147" "JEAN" "Scott!"
"148" "JERRY" "Say, let's watch the language -"
"149" "JERRY" "How ya doin', Wade?"
"150" "WADE" "What's goin' on there?"
"151" "JERRY" "Oh, nothing, Wade.  How ya doin' there?"
"152" "WADE" "Stan Grossman looked at your proposal.  Says it's pretty sweet."
"153" "JERRY" "No kiddin'?"
"154" "WADE" "We might be innarested."
"155" "JERRY" "No kiddin'!  I'd need the cash pretty quick there.  In order to close the deal."
"156" "WADE" "Come by at 2:30 and we'll talk about it.  If your numbers are right, Stan says its pretty sweet.  Stan Grossman."
"157" "JERRY" "Yah."
"158" "WADE" "2:30."
"159" "JERRY" "Yah, okay."
"160" "JERRY" "Say, Shep, how ya doin' there?"
"161" "SHEP" "Mm."
"162" "JERRY" "Say, ya know those two fellas ya put me in touch with, up there in Fargo?"
"163" "SHEP" "Put you in touch with Grimsrud."
"164" "JERRY" "Well, yah, but he had a buddy there.  He, uh -"
"165" "SHEP" "Well, I don't vouch for him."
"166" "JERRY" "Well, that's okay, I just -"
"167" "SHEP" "I vouch for Grimsrud.  Who's his buddy?"
"168" "JERRY" "Carl somethin'?"
"169" "SHEP" "Never heard of him.  Don't vouch for him."
"170" "JERRY" "Well, that's okay, he's a buddy of the guy ya vouched for, so I'm not worryin'.  I just, I was wonderin', see, I gotta get in touch with 'em for, I might not need it anymore, sumpn's happenin', see -"
"171" "SHEP" "Call 'em up."
"172" "JERRY" "Yah, well, see, I did that, and I haven't been able to get 'em, so I thought you maybe'd know an alternate number or what have ya."
"173" "SHEP" "Nope."
"174" "JERRY" "Okay, well, real good, then."
"175" "CARL" "...  Look at that.  Twin Cities. IDS Building, the big glass one. Tallest skyscraper in the Midwest. After the Sears, uh, Chicago... You never been to Minneapolis?"
"176" "GRIMSRUD" "No."
"177" "CARL" "...  Would it kill you to say something?"
"178" "GRIMSRUD" "I did."
"179" "CARL" ""No." First thing you've said in the last four hours.  That's a, that's a fountain of conversation, man.  That's a geyser.  I mean, whoa, daddy, stand back, man.  Shit, I'm sittin' here driving, man, doin' all the driving, whole fuckin' way from Brainerd, drivin', tryin' to, you know, tryin' to chat, keep our spirits up, fight the boredom of the road, and you can't say one fucking thing just in the way of conversation."
"180" "CARL" "...  Well, fuck it, I don't have to talk either, man.  See how you like it..."
"181" "CARL" "...  Total silence..."
"182" "JERRY" "Yah, real good.  How you doin'?"
"183" "VOICE" "Pretty good, Mr. Lundegaard. You're damned hard to get on the phone."
"184" "JERRY" "Yah, it's pretty darned busy here, but that's the way we like it."
"185" "VOICE" "That's for sure.  Now, I just need, on these last, these financing documents you sent us, I can't read the serial numbers of the vehicles on here, so I -"
"186" "JERRY" "But I already got the, it's okay, the loans are in place, I already got the, the what, the -"
"187" "VOICE" "Yeah, the three hundred and twenty thousand dollars, you got the money last month."
"188" "JERRY" "Yah, so we're all set."
"189" "VOICE" "Yeah, but the vehicles you were borrowing on, I just can't read the serial numbers on your applicaton.  Maybe if you could just read them to me -"
"190" "JERRY" "But the deal's already done, I already got the money -"
"191" "VOICE" "Yeah, but we have an audit here, I just have to know that these vehicles you're financing with this money, that they really exist."
"192" "JERRY" "Yah, well, they exist all right."
"193" "VOICE" "I'm sure they do - ha ha!  But I can't read their serial numbers here.  So if you could read me -"
"194" "JERRY" "Well, but see, I don't have 'em in front a me - why don't I just fax you over a copy -"
"195" "VOICE" "No, fax is no good, that's what I have and I can't read the darn thing -"
"196" "JERRY" "Yah, okay, I'll have my girl send you over a copy, then."
"197" "VOICE" "Okay, because if I can't correlate this note with the specific vehicles, then I gotta call back that money -"
"198" "JERRY" "Yah, how much money was that?"
"199" "VOICE" "Three hundred and twenty thousand dollars.  See, I gotta correlate that money with the cars it's being lent on."
"200" "JERRY" "Yah, no problem, I'll just fax that over to ya, then."
"201" "VOICE" "No, no, fax is -"
"202" "JERRY" "I mean send it over.  I'll shoot it right over to ya."
"203" "VOICE" "Okay."
"204" "JERRY" "Okay, real good, then."
"205" "HOST" "So I seperate the - how the heck do I get the egg out of the shell without breaking it?"
"206" "HOSTESS" "You just prick a little hole in the end and blow!"
"207" "HOST" "Okay, here goes nothing."
"208" "AUDIENCE" "Awoooo!"
"209" "GRIMSRUD" "Unguent."
"210" "CARL" "Huh?"
"211" "GRIMSRUD" "I need ... unguent."
"212" "JERRY" "How ya doin' there, Stan?  How are ya, Wade?"
"213" "STAN" "Good to see ya again, Jerry.  If these numbers are right, this looks pretty sweet."
"214" "JERRY" "Oh, those numbers are all right, bleemee."
"215" "WADE" "This is do-able."
"216" "STAN" "Congratulations, Jerry."
"217" "JERRY" "Yah, thanks, Stan, it's a pretty -"
"218" "WADE" "What kind of finder's fee were you looking for?"
"219" "JERRY" "...  Huh?"
"220" "STAN" "The financials are pretty thorough, so the only thing we don't know is your fee."
"221" "JERRY" "...  My fee?  Wade, what the heck're you talkin' about?"
"222" "WADE" "Stan and I're okay."
"223" "JERRY" "Yah."
"224" "WADE" "We're good to loan in."
"225" "JERRY" "Yah."
"226" "WADE" "But we never talked about your fee for bringin' it to us."
"227" "JERRY" "No, but, Wade, see, I was bringin' you this deal for you to loan me the money to put in.  It's my deal here, see?"
"228" "STAN" "Jerry - we thought you were bringin' us an investment."
"229" "JERRY" "Yah, right -"
"230" "STAN" "You're sayin' - what're you sayin'?"
"231" "WADE" "You're sayin' that we put in all the money and you collect when it pays off?"
"232" "JERRY" "No, no.  I - I'd, I'd - pay you back the principal, and interest - heck, I'd go - one over prime -"
"233" "STAN" "We're not a bank, Jerry."
"234" "WADE" "What the heck, Jerry, if I wanted bank interest on seven hunnert'n fifty thousand I'd go to Midwest Federal.  Talk to Bill Diehl."
"235" "STAN" "He's at Norstar."
"236" "WADE" "He's at -"
"237" "JERRY" "No, see, I don't need a finder's fee, I need - finder's fee's, what, ten percent, heck that's not gonna do it for me.  I need the principal."
"238" "STAN" "Jerry, we're not just going to give you seven hundred and fifty thousand dollars."
"239" "WADE" "What the heck were you thinkin'? Heck, if I'm only gettin' bank interest, I'd look for complete security.  Heck, FDIC.  I don't see nothin' like that here."
"240" "JERRY" "Yah, but I - okay, I would, I'd guarantee ya your money back."
"241" "WADE" "I'm not talkin' about your damn word, Jerry.  Geez, what the heck're you?...  Well, look, I don't want to cut you out of the loop, but his here's a good deal. I assume, if you're not innarested, you won't mind if we move on it independently."
"242" "JERRY" "Hon?"
"243" "JERRY" "...  Got the growshries..."
"244" "JERRY" "...  Hon?"
"245" "JERRY" "Yah, Wade, I - it's Jerry, I."
"246" "JERRY" "...  Yah, Wade, it's, I, it's Jerry..."
"247" "JERRY" "...  Wade, it's Jerry, I - we gotta talk, Wade, it's terrible..."
"248" "JERRY" "...  Yah, Wade Gustafson, please."
"249" "GRIMSRUD" "Shut the fuck up or I'll throw you back in the trunk, you know."
"250" "CARL" "Geez.  That's more'n I've heard you say all week."
"251" "CARL" "Ah, shit, the tags..."
"252" "CARL" "...  It's just the tags.  I never put my tags on the car.  Don't worry, I'll take care of this."
"253" "CARL" "...  Let's keep still back there, lady, or we're gonna have to, ya know, to shoot ya."
"254" "CARL" "...  Hey!  I'll take care of this!"
"255" "CARL" "How can I help you, officer?"
"256" "TROOPER" "This is a new car, then, sir?"
"257" "CARL" "It certainly is, officer.  Still got that smell!"
"258" "TROOPER" "You're required to display temporary tags, either in the plate area or taped inside the back window."
"259" "CARL" "Certainly -"
"260" "TROOPER" "Can I see your license and registration please?"
"261" "CARL" "Certainly."
"262" "CARL" "...  I was gonna tape up the temporary tag, ya know, to be in full compliance, but it, uh, it, uh ... must a slipped my mind..."
"263" "CARL" "...  So maybe the best thing would be to take care of that, right here in Brainerd."
"264" "TROOPER" "What's this, sir?"
"265" "CARL" "That's my license and regis- tration.  I wanna be in compliance."
"266" "CARL" "...  I was just thinking I could take care of it right here.  In Brainerd."
"267" "TROOPER" "Put that back in your pocket, please."
"268" "TROOPER" "...  And step out of the car, please, sir."
"269" "GRIMSRUD" "Shut up."
"270" "CARL" "Whoa...  Whoa, Daddy."
"271" "GRIMSRUD" "You'll take care of it.  Boy, you are smooth smooth, you know."
"272" "CARL" "Whoa, Daddy."
"273" "GRIMSRUD" "Clear him off the road."
"274" "CARL" "Yeah."
"275" "WOMAN" "Oh, geez..."
"276" "WOMAN" "...  Hi, it's Marge..."
"277" "MARGE" "...  Oh, my.  Where?...  Yah... Oh, geez..."
"278" "MARGE" "...  Okay.  There in a jif... Real good, then."
"279" "MARGE" "...  You can sleep, hon.  It's early yet."
"280" "MAN" "Gotta go?"
"281" "MARGE" "Yah."
"282" "MAN" "I'll fix ya some eggs."
"283" "MARGE" "That's okay, hon.  I gotta run."
"284" "MAN" "Gotta eat a breakfast, Marge. I'll fix ya some eggs."
"285" "MARGE" "Aw, you can sleep, hon."
"286" "MAN" "Ya gotta eat a breakfast..."
"287" "MAN" "...  I'll fix ya some eggs."
"288" "MARGE" "Aw, Norm."
"289" "MARGE" "Thanks, hon.  Time to shove off."
"290" "NORM" "Love ya, Margie."
"291" "MARGE" "Love ya, hon."
"292" "MARGE" "Hon?"
"293" "NORM" "Yah?"
"294" "MARGE" "Prowler needs a jump."
"295" "MARGE" "Hiya, Lou."
"296" "LOU" "Margie.  Thought you might need a little warm-up."
"297" "MARGE" "Yah, thanks a bunch.  So what's the deal, now?  Gary says triple homicide?"
"298" "LOU" "Yah, looks pretty bad.  Two of'm're over here."
"299" "MARGE" "Where is everybody?"
"300" "LOU" "Well - it's cold, Margie."
"301" "MARGE" "Ah, geez.  So...  Aw, geez. Here's the second one...  It's in the head and the ... hand there, I guess that's a defensive wound.  Okay."
"302" "MARGE" "...  Where's the state trooper?"
"303" "LOU" "Back there a good piece.  In the ditch next to his prowler."
"304" "MARGE" "Okay, so we got a state trooper pulls someone over, we got a shooting, and these folks drive by, and we got a high-speed pursuit, ends here, and this execution-type deal."
"305" "LOU" "Yah."
"306" "MARGE" "I'd be very surprised if our suspect was from Brainerd."
"307" "LOU" "Yah."
"308" "MARGE" "Yah.  And I'll tell you what, from his footprints he looks like a big fella -"
"309" "LOU" "Ya see something down there, Chief?"
"310" "MARGE" "Uh - I just, I think I'm gonna barf."
"311" "LOU" "Geez, you okay, Margie?"
"312" "MARGE" "I'm fine - it's just morning sickness."
"313" "MARGE" "...  Well, that passed."
"314" "LOU" "Yah?"
"315" "MARGE" "Yah.  Now I'm hungry again."
"316" "LOU" "You had breakfast yet, Margie?"
"317" "MARGE" "Oh, yah.  Norm made some eggs."
"318" "LOU" "Yah?  Well, what now, d'ya think?"
"319" "MARGE" "Let's go take a look at that trooper."
"320" "MARGE" "There's two of 'em, Lou!"
"321" "LOU" "Yah?"
"322" "MARGE" "Yah, this guy's smaller than his buddy."
"323" "LOU" "Oh, yah?"
"324" "MARGE" "For Pete's sake."
"325" "LOU" "How's it look, Marge?"
"326" "MARGE" "Well, he's got his gun on his hip there, and he looks like a nice enough guy.  It's a real shame."
"327" "LOU" "Yah."
"328" "MARGE" "You haven't monkeyed with his car there, have ya?"
"329" "LOU" "No way."
"330" "MARGE" "Somebody shut his lights.  I guess the little guy sat in there, waitin' for his buddy t'come back."
"331" "LOU" "Yah, woulda been cold out here."
"332" "MARGE" "Heck, yah.  Ya think, is Dave open yet?"
"333" "LOU" "You don't think he's mixed up in -"
"334" "MARGE" "No, no, I just wanna get Norm some night crawlers."
"335" "MARGE" "You look in his citation book?"
"336" "LOU" "Yah..."
"337" "LOU" "...  Last vehicle he wrote in was a tan Ciera at 2:18 a.m. Under the plate number he put DLR - I figure they stopped him or shot him before he could finish fillin' out the tag number."
"338" "MARGE" "Uh-huh."
"339" "LOU" "So I got the state lookin' for a Ciera with a tag startin' DLR. They don't got no match yet."
"340" "MARGE" "I'm not sure I agree with you a hunnert percent on your policework, there, Lou."
"341" "LOU" "Yah?"
"342" "MARGE" "Yah, I think that vehicle there probly had dealer plates.  DLR?"
"343" "LOU" "Oh..."
"344" "LOU" "...  Geez."
"345" "MARGE" "Yah.  Say, Lou, ya hear the one about the guy who couldn't afford personalized plates, so he went and changed his name to J2L 4685?"
"346" "LOU" "Yah, that's a good one."
"347" "MARGE" "Yah."
"348" "WADE" "-  All's I know is, ya got a problem, ya call a professional!"
"349" "JERRY" "No!  They said no cops!  They were darned clear on that, Wade!  They said you call the cops and we -"
"350" "WADE" "Well, a course they're gonna say that!  But where's my protection? They got Jean here!  I give these sons a bitches a million dollars, where's my guarantee they're gonna let her go."
"351" "JERRY" "Well, they -"
"352" "WADE" "A million dollars is a lot a damn money!  And there they are, they got my daughter!"
"353" "JERRY" "Yah, but think this thing through here, Wade.  Ya give 'em what they want, why wont' they let her go? You gotta listen to me on this one, Wade."
"354" "WADE" "Heck, you don't know!  You're just whistlin' Dixie here!  I'm sayin', the cops, they can advise us on this!  I'm sayin' call a professional!"
"355" "JERRY" "No!  No cops!  That's final!  This is my deal here, Wade!  Jean is my wife here!"
"356" "STAN" "I gotta tell ya, Wade, I'm leanin' to Jerry's viewpoint here."
"357" "WADE" "Well -"
"358" "STAN" "We gotta protect Jean.  These - we're not holdin' any cards here, Wade, they got all of 'em.  So they call the shots."
"359" "JERRY" "You're darned tootin'!"
"360" "WADE" "Ah, dammit!"
"361" "STAN" "I'm tellin' ya."
"362" "WADE" "Well...  Why don't we..."
"363" "WADE" "...  Stan, I'm thinkin' we should offer 'em half a million."
"364" "JERRY" "Now come on here, no way, Wade! No way!"
"365" "STAN" "We're not horse-trading here, Wade, we just gotta bite the bullet on this thing."
"366" "JERRY" "Yah!"
"367" "STAN" "What's the next step here, Jerry?"
"368" "JERRY" "They're gonna call, give me instructions for a drop.  I'm supposed to have the money ready tomorrow."
"369" "WADE" "Dammit!"
"370" "CASHIER" "How was everything today?"
"371" "JERRY" "Yah, real good now."
"372" "STAN" "Okay.  We'll get the money together. Don't worry about it, Jerry.  Now, d'you want anyone at home, with you, until they call?"
"373" "JERRY" "No, I - they don't want - they're just s'posed to be dealin' with me, they were real clear."
"374" "STAN" "Yah."
"375" "JERRY" "Ya know, they said no one listenin' in, they'll be watchin', ya know. Maybe it's all bull, but like you said, Stan, they're callin' the shots."
"376" "STAN" "Okay.  And Scotty, is he gonna be all right?"
"377" "JERRY" "Yah, geez, Scotty.  I'll go talk to him."
"378" "STAN" "We'll call."
"379" "JERRY" "...  How ya doin' there, Scotty?"
"380" "SCOTT" "Dad!  What're they doing?  Wuddya think they're doin' with Mom?"
"381" "JERRY" "It's okay, Scotty.  They're not gonna want to hurt her any. These men, they just want money, see."
"382" "SCOTT" "What if - what if sumpn goes wrong?"
"383" "JERRY" "No, no, nothin's goin' wrong here. Grandad and I, we're - we're makin' sure this gets handled right."
"384" "SCOTT" "Dad, I really think we should call the cops."
"385" "JERRY" "No!  We can't let anyone know about this thing!  We gotta play ball with these guys - you ask Stan Grossman, he'll tell ya the same thing!"
"386" "SCOTT" "Yeah, but -"
"387" "JERRY" "We're gonna get Mom back for ya, but we gotta play ball.  Ya know, that's the deal.  Now if Lorraine calls, or Sylvia, you just say that Mom is in Florida with Pearl and Marty..."
"388" "JERRY" "...  That's the best we can do here."
"389" "CARL" "Hold it."
"390" "CARL" "Ha ha ha ha ha ha!  Jesus!"
"391" "MARGE" "Hiya, hon."
"392" "NORM" "Brought ya some lunch, Margie. What're those, night crawlers?"
"393" "MARGE" "Yah."
"394" "NORM" "Thanks, hon."
"395" "MARGE" "You bet.  Thanks for lunch.  What do we got here, Arbie's?"
"396" "NORM" "Uh-huh."
"397" "MARGE" "...  How's the paintin' goin'?"
"398" "NORM" "Pretty good.  Found out the Hautmans are entering a painting this year."
"399" "MARGE" "Aw, hon, you're better'n them."
"400" "NORM" "They're real good."
"401" "MARGE" "They're good, Norm, but you're better'n them."
"402" "NORM" "Yah, ya think?"
"403" "MARGE" "Ah, ya got Arbie's all o'er me."
"404" "LOU" "Hiya, Norm, how's the paintin' goin'?"
"405" "NORM" "Not too bad.  You know."
"406" "MARGE" "How we doin' on that vehicle?"
"407" "LOU" "No motels registered any tan Ciera last night.  But the night before, two men checked into the Blue Ox registering a Ciera and leavin' the tag space blank."
"408" "MARGE" "Geez, that's a good lead.  The Blue Ox, that's that trucker's joint out there on I-35?"
"409" "LOU" "Yah.  Owner was on the desk then, said these two guys had company."
"410" "MARGE" "Oh, yah?"
"411" "MARGE" "Where you girls from?"
"412" "HOOKER ONE" "Chaska."
"413" "HOOKER TWO" "LeSeure.  But I went to high school in White Bear Lake."
"414" "MARGE" "Okay, I want you to tell me what these fellas looked like."
"415" "HOOKER ONE" "Well, the little guy, he was kinda funny-looking."
"416" "MARGE" "In what way?"
"417" "HOOKER ONE" "I dunno.  Just funny-looking."
"418" "MARGE" "Can you be any more specific?"
"419" "HOOKER ONE" "I couldn't really say.  He wasn't circumcised."
"420" "MARGE" "Was he funny-looking apart from that?"
"421" "HOOKER ONE" "Yah."
"422" "MARGE" "So you were having sex with the little fella, then?"
"423" "HOOKER ONE" "Uh-huh."
"424" "MARGE" "Is there anything else you can tell me about him?"
"425" "HOOKER ONE" "No.  Like I say, he was funny-looking. More'n most people even."
"426" "MARGE" "And what about the other fella?"
"427" "HOOKER TWO" "He was a little older.  Looked like the Marlboro man."
"428" "MARGE" "Yah?"
"429" "HOOKER TWO" "Yah.  Maybe I'm sayin' that cause he smoked Marlboros."
"430" "MARGE" "Uh-huh."
"431" "HOOKER TWO" "A subconscious-type thing."
"432" "MARGE" "Yah, that can happen."
"433" "HOOKER TWO" "Yah."
"434" "HOOKER ONE" "They said they were goin' to the Twin Cities?"
"435" "MARGE" "Oh, yah?"
"436" "HOOKER TWO" "Yah."
"437" "HOOKER ONE" "Yah.  Is that useful to ya?"
"438" "MARGE" "Oh, you bet, yah."
"439" "CARL" "...days ... be here for days with a - DAMMIT! - a goddamn mute ... nothin' to do ... and the fucking - DAMMIT!..."
"440" "CARL" "...  TV doesn't even ... plug me in, man...  Gimmee a - DAMMIT! - signal...  Plug me into the ozone, baby...  Plug me into the ozone - FUCK!..."
"441" "TV VOICE-OVER" "The bark beetle carries the worm to the nest ... where it will feed its young for up to six weeks..."
"442" "MARGE" "...  Well, I'm turnin' in, Norm."
"443" "NORM" "...  Oh, yah?"
"444" "MARGE" "Hello?"
"445" "VOICE" "Yah, is this Marge?"
"446" "MARGE" "Yah?"
"447" "VOICE" "Margie Olmstead?"
"448" "MARGE" "...  Well, yah.  Who's this?"
