"character" "dialogue"
"55" "SAM" "The glass is an inch thick. Armor-plated. Bulletproof. Bomb- proof."
"56" "LISA" "Perfect car for L.A. Starts, too."
"57" "ROBBINS" "Yo, Dave the Computer Man! Actually escaped the office!"
"58" "DAVE" "I'm doin' field upgrades. Gives 'em a chance to hose out my cage."
"59" "DAVE" "Who's the fuckin' gargoyle?"
"60" "ROBBINS" "Their Chief of Security, Colonel Lee."
"61" "SABATINI" ""Chuckles," as we're inclined to call him. Friggin' graveyard shift..."
"62" "ROBBINS" "Love to know what dope made it the Bureau's job to give full-time protection to foreign consulates. Cup a mud?"
"63" "DAVE" "Not if you made it. Why don't you get Sabatini to brew the java? She's the alleged chick."
"64" "SABATINI" "Blow me."
"65" "DAVE" "Where's Carson?"
"66" "SABATINI" "On his way. Some creeps tried to rip off his Mustang last night. They cut the ragtop."
"67" "DAVE" "Motherfuckers..."
"68" "DAVE" "Latest and greatest. Wireless network link-ups."
"69" "SABATINI" "Whoa, slow down, I'm gonna pee."
"70" "ROBBINS" "Me, too."
"71" "DAVE" "Ingrates."
"72" "JAVAL" "You see that I'm serious in my intention, yes? If you cooperate, you and your children will be home for dinner tonight."
"73" "COLONEL LEE" "[You must stay here.]"
"74" "AMBASSADOR HAN" "Someone took my family!"
"75" "SABATINI" "You got no jurisdiction outside this property!"
"76" "SABATINI" "Shit! Yank his fuckin' leash!"
"77" "AMBASSADOR HAN" "My men are going!"
"78" "AMBASSADOR HAN" "It's a white telephone van, driving west on Washington Boulevard."
"79" "ROBBINS" "Keys!"
"80" "SABATINI" "You're ridin' shotgun."
"81" "ROBBINS" "Cherry?"
"82" "DAVE" "Under the seat."
"83" "ROBBINS" "Siren?"
"84" "DAVE" "I don't know! I'm never in a fuckin' hurry..!"
"85" "SABATINI" "Someone snatched Han's family! White phone van, westbound on Washington!"
"86" "CARSON" "Give me a secure radio!"
"87" "CO-WORKER" "Someone's been to Nordstroms, big time."
"88" "WALTHER" "Clothes make the man."
"89" "CO-WORKER" "But does the man make enough for the clothes?"
"90" "WALTHER" "The man makes payments on his Visa."
"91" "SECRETARY" "Mr. Walther... priority line!"
"92" "WALTHER" "This is Diplomatic Liaison Earl Walther... What's the nature of your emer -- Aw, Jesus... not today... I'll inform channels and get a copter in the air. For God's sake, keep it quiet. Do what you can, but don't endanger civilians or the family!"
"93" "CARSON" "You bet -- nice and easy."
"94" "WALTHER" "Get the Secretary of State on the horn. I know he left already. I'm familiar with the concept of time zones. Find his ass."
"95" "CARSON" "Robbins, Sabatini... Chopper's on its way."
"96" "CARSON" "Check it out! Ahead, on the right!"
"97" "SABATINI (VO)" "Think it's them?"
"98" "CARSON" "Yeah... but it seems too easy... I'll move up; he won't suspect a civilian car. Stay back, then get on his ass when I signal. We'll box him in."
"99" "CARSON" "If the Mod Squad gets in your way, don't be shy about getting 'em out."
"100" "SABATINI (VO)" "Copy that one."
"101" "SABATINI" "Don't puke... I hate when guys puke!"
"102" "JAVAL" "I need to concentrate!"
"103" "CARSON" "He's gonna wrap it around something!"
"104" "CARSON (OS)" "Oh, shit..."
"105" "COLONEL LEE" "You should not have interfered!"
"106" "CARSON" "I'm in no mood..."
"107" "ROBBINS" "Forget about him!"
"108" "CARSON" "Let's get back to the Consulate."
"109" "JAVAL" "Does anyone need to use the rest room? This will be your last opportunity for a few hours. Very well. Mrs. Han, Sam, Joy, please sit here. And you... what is your name?"
"110" "LISA" "Lisa..."
"111" "JAVAL" "No, Mrs. Han, this one. Thank you."
"112" "JAVAL" "You afford me some additional bargaining power. But not much."
"113" "JAVAL" "There. No taping your mouths, no restraints. Please remain still while I explain. The meters on the left indicate sound pressure -- Decibels. There are microphones on your chair backs. If you raise your voices above certain level, putting your meter in the red zone for more than one sustained second, the circuit will be closed. The right meters indicate motion. There are pressure sensors inside the armrests and seats. The sensors don't like to get wet, so I hope you were honest about not needing to use the loo. If you make any excess movements, or try to leave your chair, the circuit will be closed."
"114" "MRS. HAN" "I don't understand..."
"115" "MRS. HAN" "What happens if the circuit closes?"
"116" "JAVAL" "Kaboom..."
"117" "JAVAL" "Easy... deep breath... Do each of you understand?"
"118" "JAVAL" "Keep your wits, and all will be fine."
"119" "COMMENTATOR #1" "...Not since the '84 Olympics has the whole city had an such an opportunity --"
"120" "WALTHER" "Carson? Walther. Who told the Ambassador?"
"121" "CARSON" "His Security Chief. There was a civilian with them -- fifteen-year-old girl from across the street. We're trying to reach the parents."
"122" "WALTHER" "Goddamn it... Look, Mrs. Han was the North Korean Premier's niece! We're hearing rumors they're gonna make a major issue out of what happened here..."
"123" "CARSON" "I'm not so sure what happened here. Something smells. Asshole was acting like he wanted us to spot him..."
"124" "WALTHER" "What the hell are you talking about?"
"125" "AMBASSADOR HAN (OS)" "Mr. Walther?"
"126" "WALTHER" "Ambassador Han... my deepest --"
"127" "AMBASSADOR HAN" "-- I have no wish for condolences. Just answers."
"128" "WALTHER" "As soon as we have any to give..."
"129" "AMBASSADOR HAN" "Yoon..?!"
"130" "CARSON" "Start a trace!"
"131" "WALTHER" "Mr. Secretary... they're alive!"
"132" "COLONEL LEE" "You are tapping our phones?!"
"133" "CARSON" "Yeah, you didn't know. And I'm Meryl Streep."
"134" "MRS. HAN" "We are not hurt. But this man is very serious --"
"135" "JAVAL" "I want you to remember the feeling you had when you thought your family was dead, and use it to inform the choices you're about to make."
"136" "CARSON" "Say you want to talk to the kids..."
"137" "AMBASSADOR HAN" "I need to know my children are all right."
"138" "JAVAL (VO)" "Be in front of a television in two minutes. Tune it to channel four. You'll get the picture."
"139" "AMBASSADOR HAN" "There is a television in my office."
"140" "ROBBINS (VO)" "We're screwed on the trace -- he's on a cell phone."
"141" "DAVE" "Play the tape back. I might be able to pull the electronic serial number out of the subcarrier."
"142" "CARSON (VO)" "Ask Dave if he knows how to find the phone's serial number."
"143" "ROBBINS" "Hey, great idea..."
"144" "CARSON (OS)" "Oh, Jesus, those're explosives! Look at the TV -- this was just taken."
"145" "JAVAL (VO)" "There must surely be several people in the room; you may put me on the speakerbox if you wish."
"146" "JAVAL (VO)" "I am not a terrorist. Your countries' political posturing means nothing to me. So do not waste time trying to negotiate. The Federal Reserve Bank of Los Angeles can furnish ten million dollars U.S. by 2:00 PM. The required denominations are in the instructions, as is the method of packaging. Be in your car at 3:00 PM, and drive north on Highland Avenue. I will call with where to leave the money, which you will do at 3:30. If I am unmolested, I will call again at 4:00 with the family's location and the method for removing them from their... predicament. Could you please refer to page one? Any deviation from these instructions and my device will fulfill its function at exactly 5:00 PM."
"147" "AMBASSADOR HAN" "P'yÃšngyang must approve the ransom..."
"148" "WALTHER" "Of course. The FBI's top Hostage Negotiator is on the way --"
"149" "CARSON" "-- Goddamn Negotiator's the last thing we need! This asshole sound like he was interested in bargaining?"
"150" "WALTHER" "We have people who are experts in these situations. We really feel it would be best if you let them coordinate everything..."
"151" "WALTHER" "Let's get on it..."
"152" "CARSON" "...You're gonna just pay up, count on his good nature to return the family?!"
"153" "WALTHER" "It's the President's intention to keep this quiet, move forward with the Summit, and work with the North Koreans. Jesus, you've already embarrassed the shit out of us over the phone surveillance --"
"154" "CARSON" "-- They know their phones are tapped! They tap our fucking phones!"
"155" "WALTHER" "That's not the point! The point is not acknowledging it! We got an international incident brewing, with a country we were practically at war with last year! Our best Negotiator is gonna run point. If you got a problem, you can take the goddamn rest of the day off."
"156" "CARSON" "This Consulate is my responsibility."
"157" "WALTHER" "Not any more."
"158" "WALTHER" "That's the Negotiator. You do the briefing."
"159" "CARSON" "...Our worst enemy'll be the city. There are events gearing up all around town, and a dozen world leaders arriving. Add the Friday rush hour and usual L.A. bad behavior and it'll be a nightmare out there by 3 PM. It all works to the advantage of the kidnapper, hinders our pursuit efforts... You don't agree?"
"160" "MIRANDA" "I'm wondering whether to believe him when he says he's strictly motivated by money."
"161" "CARSON" "You see one word of Peoples'- Liberation, Holy-Jihad, Revolutionary whatever-it-is-we're-pissed-off-about- this-week bullshit in this entire letter?"
"162" "MIRANDA" "I still want to check the MO against known politicals, terrorists --"
"163" "CARSON" "-- Already doing it. We're coordinating with the Secret Service, the NSA and the CIA."
"164" "MIRANDA" "Have someone talk to the LAPD, give them a cover story for the media about the crash on La Cienega."
"165" "WALTHER" "Why didn't you tell me Doctor Knoll is your wife?!"
"166" "CARSON" "If she'd changed her name when we got married, I wouldn't have to."
"167" "MIRANDA" "I'm so enjoying this opportunity to finally work together..."
"168" "WALTHER" "Jesus, forget I asked. The cash will be here in an hour. Any thoughts on the kidnapper's thoughts?"
"169" "MIRANDA" "Everything indicates he's working alone. And his concerns do seem to be solely about the money... so I agree that he's only using the Summit and the tension with North Korea to create extreme motivation to pay the ransom."
"170" "COLONEL LEE" "I will bring the money to him."
"171" "CARSON" "My ass."
"172" "COLONEL LEE" "The hostages are citizens of the People's Republic of Korea --"
"173" "CARSON" "-- Hey, do I go to the torture chambers in your prisons, tell you how to do your job?"
"174" "WALTHER" "All right, you're outta here! Is this the same insubordinate crap you pulled at Beverly Thrift?"
"175" "CARSON" "I'll coordinate the drop."
"176" "AMBASSADOR HAN" "Perhaps that is better. Inspector Carson knows the terrain --"
"177" "COLONEL LEE" "-- Then he can come with me."
"178" "WALTHER" "It's settled."
"179" "CARSON" "It sucks."
"180" "MIRANDA" "But it means we can get on with it."
"181" "MIRANDA" "Get one thing straight, Mr. Walther. If the Bureau had listened to Pete, Beverly Thrift never would've happened."
"182" "JAVAL" "That's more like it..."
"183" "OPERATIVE" "...They've got the Premier agreeing to the hard-line position --"
"184" "OPERATIVE" "More to follow..."
"185" "DAVE" "I wanted to be home by now, take the kids to the rally in Boyle Heights."
"186" "SABATINI" "We got a cabin in Big Bear. By now, L.A. was supposed to be a brown blotch in the rear-view mirror."
"187" "MIRANDA" "He'll expect a homing device --"
"188" "CARSON" "-- I expect him to expect it. He'll check the cash with an RF detector... Meaning he'll find this one. This only has a quarter-mile range, but on a frequency too low to detect. And I doubt the asshole will have an X-ray machine or a metal detector."
"189" "MIRANDA" "Why must you always refer generically to criminals as "assholes?""
"190" "CARSON" "Gosh, you're right. It could undermine their self-esteem and spoil their chances for rehabilitation."
"191" "MIRANDA" "You been reading my magazines in the bathroom again?"
"192" "JAVAL (VO)" ""And my device will fulfill its function at exactly 5:00 PM...""
"193" "MIRANDA" "He's really exhibiting pressured speech... big effort here to sound calm. Same with his vocabulary... if he were in control, he wouldn't feel such a need to sound that way."
"194" "CARSON" "Just tell me if we can use it."
"195" "MIRANDA" "If we needle him he could get sloppy and give us an opening, but I'm not going to risk it. This is the worst kind of perpetrator: anything makes him deviate from his carefully- scripted plan, he could become extremely volatile."
"196" "MIRANDA (VO)" "Do we have back-up if the bleeper fails?"
"197" "CARSON (VO)" "Nothing but physical surveillance."
"198" "MIRANDA" "It's real important we don't lose him. He didn't go through all the trouble of designing that bomb not to use it."
"199" "CARSON" "Well, it ain't gonna happen. Not again..."
"200" "PRESIDENT" "What the hell is the big crisis?"
"201" "SECRETARY OF STATE" "We just received a missive from the North Korean attachÃˆ. They say the kidnapping is a U.S. plot to provoke and humiliate them during the Summit."
"202" "PRESIDENT" "Bullshit. They're just ticked because we don't want the Chinese dragging their asses into the treaty talks."
"203" "INTELLIGENCE OFFICER" "We have a covert operative in place. He reports the hard-liners and moderates in the High Command are arguing about how to respond, should the Premier's niece and her children should be killed."
"204" "PRESIDENT" "Respond?! Christ. What about the damn Premier?"
"205" "SECRETARY OF STATE" "He's weak. He has to look tough to save face, keep control of hard- liners... otherwise he risks a coup."
"206" "CIA CHIEF" "Which is a real possibility. Most of those old-fart Generals don't want to"
"207" "-more-" ""
"208" "CIA CHIEF (Cont'd)" "be part of the Summit any more than we want them to. They're mad as hell he even talked to the Chinese."
"209" "PRESIDENT" "I don't want to deal with this right now! Get our diplomats on it. Tell the North we'll pay the ransom for 'em... Placate 'em! And make damn sure we get that family back in one piece. Who's in charge in L.A.?"
"210" "FBI CHIEF" "The Bureau, Sir. We have a crack team in place."
"211" "SECRETARY OF STATE" "There's a Diplomatic Liaison from State, too."
"212" "CIA CHIEF" "What about your man stationed at the Consulate... Carson? He was demoted from the FBI Hostage Program, couple years back. And this did happen on his watch..."
"213" "FBI CHIEF" "There's no way he could've prevented this abduction! Besides, I've got one of my top Negotiators in charge --"
"214" "PRESIDENT" "-- Whatever. I want a total news blackout and I want this over with, quickly! Without giving those Commie little bastards any excuse to shit all over my Summit!"
"215" "MIRANDA" "Yes, please go ahead..."
"216" "JAVAL (VO)" "Ah... this must be one of those professionals --"
"217" "MIRANDA" "-- I'm only here to see that everyone gets what they want --"
"218" "JAVAL (VO)" "-- I've got my shotgun in little Lisa's mouth, and I will pull the trigger in five seconds unless you put the Ambassador on the phone."
"219" "MIRANDA (VO)" "The drop is at the DeMille barn, across from the Hollywood Bowl. You're to leave the money in the center of the parking lot."
"220" "CARSON" "Shit... no way we can set up a stake- out in..."
"221" "-more-" ""
"222" "CARSON (Cont'd)" "Four minutes. Call the Park Rangers at the Bowl. Have them clear the area of civilians."
"223" "MIRANDA (VO)" "Remember, Pete... we're dealing with a customer with a lot of rage."
"224" "CARSON" "Must've bought a house same time we did."
"225" "CARSON" "There's about a hundred ways he can scurry off like a cockroach from here... So spread out."
"226" "DAVE" "Our boy's in a fuckin' ice cream truck!"
"227" "DAVE" "Son of a bitch! He found the bleepers -- both of them!"
"228" "CARSON" "Fuck! Okay, stay back. It's not like he'll be hard to see in that truck. Which way's he heading?"
"229" "DAVE (VO)" "Toward the freeway."
"230" "MIRANDA" "What happened?"
"231" "CARSON (VO)" "We're made! Gotta grab him!"
"232" "MIRANDA" "All right... Carefully..."
"233" "CARSON" "Watch it! We need him alive!"
"234" "COLONEL LEE" "Turn around!"
"235" "CARSON" "FBI. Call our office, they'll take care of you."
"236" "BIKER" "I'm a taxpayer! I'm a goddamn dentist!"
"237" "CARSON" "Just don't kill yourself, you piece of shit..."
"238" "CARSON" "Helicopter or two would be nice!"
"239" "MIRANDA" "Love to be in the loop on this..."
"240" "CARSON" "Not just now, dear..."
"241" "CARSON" "I coulda had a ranch... maybe some horses... but no, we moved to L.A."
"242" "CARSON" "He's on foot, at the base of the elevator tower!"
"243" "CARSON" "Goddammit! He's in a blue Geo!"
"244" "CARSON" "Fingerprint it. He's not gonna tell us where to find the hostages..."
"245" "-more-" ""
"246" "CARSON (Cont'd)" "Meaning we got exactly 80 minutes to figure it out for ourselves."
"247" "WALTHER" "Figure it out?! With what?!"
"248" "CARSON" "Miranda! We need a copter, pronto! Get back to his van. There were no plates, but check the VIN, look it over, then meet us at the Consulate."
"249" "CARSON" "Go!"
"250" "CARSON" "...Scrounge us some bodies: National Guard, State Troopers, CHPs, local PD's, meter maids --"
"251" "WALTHER" "-- They're gonna search the whole city in a goddamn hour..?!"
"252" "CARSON" "Look, I don't need you to tell me how fucked we are!"
"253" "WALTHER" "Fuck you!! Every time you're on a case something explodes!"
"254" "MIRANDA" "Stop! The clock's running! Arguing is a luxury we can't afford!"
"255" "-more-" ""
"256" "MIRANDA (Cont'd)" "What's done is done. There'll be plenty of time to point fingers later."
"257" "SABATINI" "I need some fuckin' ink!!"
"258" "AMBASSADOR HAN" "This is impossible! How can you even begin to find them?"
"259" "MIRANDA" "Well, the normal procedure is to negotiate with the perpetrator..."
"260" "CARSON" "Let's take stock. We've got a picture of where he hid the family, and recordings of his calls --"
"261" "MIRANDA" "-- That's right! We can send them to our experts for analysis..."
"262" "CARSON" "Same with his fingerprints. But that means we need high-quality image and data transmission. We can piss away ten minutes coptering this shit to our offices in Westwood, or we can use your surveillance equipment."
"263" "COLONEL LEE" "There is no surveillance equipment. This is a diplomatic facility --"
"264" "CARSON" "-- You want to play games, fine."
"265" "AMBASSADOR HAN" "Take them upstairs."
"266" "CARSON" "South Korean Consulate's just down the street -- want to take a listen?"
"267" "CARSON" "Shitcan that thing, will you?!"
"268" "CARSON" "Got a digital scanner?"
"269" "COLONEL LEE" "Analog."
"270" "CARSON" "You might want to drop a few bucks at Radio Shack and get with the decade. Dave -- get in here. Bring your computer, a city map, and the tapes of the ransom calls."
"271" "DAVE (VO)" "On my way..."
"272" "MIRANDA" "Colonel, you saw the perp. Describe him to the Ambassador, see if it's anyone he knows."
"273" "CARSON" "This is Carson in L.A. There's a set of prints coming over. Narrow the search criteria: Male, thirties, Caucasian... French, Belgian, Swiss, maybe Canadian. Try kidnappers and bombers first. We need an answer in fifteen minutes."
"274" "FINGERPRINT TECH" "That yellow air out there finally rot your brain?! It's impossible!"
"275" "CARSON (VO)" "Dazzle me."
"276" "CARSON" "We got one of the best sound guys right here in town... Newman in Audio Analysis..."
"277" "DAVE (OS)" "Newman's gone."
"278" "DAVE" "He quit, couple weeks ago. Opened a bed and breakfast in Wyoming."
"279" "DAVE" "Damn... they get HBO? I'd sure like to see the fight tonight."
"280" "CARSON" "Get those tapes transferred to a sound guy. We need ambient and background analysis, the whole enchilada."
"281" "DAVE" "Enchilada -- you saying that because I'm Mexican?"
"282" "CARSON" "No... 'cause you're fat."
"283" "MIRANDA" "Photo enhancement... Isn't there some amazing tech with the LAPD --"
"284" "DAVE" "-- Bronsky. Transferred to Seattle PD a month ago."
"285" "CARSON" "Jesus H. Christ..."
"286" "SABATINI" "I'd send it to Langley. Let the CIA earn their keep."
"287" "CARSON" "Do it."
"288" "MIRANDA" "Given his behavior, this orange residue... I'd say Desoxyn, 25 mg. Amphetamines."
"289" "CARSON" "Any significance?"
"290" "MIRANDA" "It's consistent with the lone wolf scenario: A handful of these is pure bravery-in-a-bottle, 'til the psychosis and paranoia kick in. We could check pharmacy records, on the remote chance he got them legally... if we had a couple of weeks, that is."
"291" "CARSON" "Get the Bureau on it."
"292" "MIRANDA" "Forget it. It's a waste of manpower."
"293" "CARSON" "Look, goddammit, you start skipping no-chance-in-hell leads, we can all quit and go to the beach right now."
"294" "CARSON" "He grabbed the family at 8:30. The last certain visual we had was just before his van went into the alley on La Cienega at 8:42. He called the Consulate at 9:30."
"295" "MIRANDA" "That gives him about fifty minutes to get to his location, move and secure the hostages, and activate his time bomb."
"296" "CARSON" "He probably waited a while to pad the time -- he wanted us know the family was still alive... ...So these crazy bastards wouldn't throw a premature shit hemorrhage, but he didn't want to call too soon, either. I say they're within 15 to 20 minutes, via surface streets, of where we last saw them."
"297" "MIRANDA" "The most densely-populated part of the L.A. basin. This narrows it down to about 200,000 dwellings."
"298" "MIRANDA" "He was traveling west --"
"299" "CARSON" "-- Bet he doubled back."
"300" "MIRANDA" "C'mon, that's total conjecture --"
"301" "SABATINI" "-- I'd trust his instincts when dealing with maniacs. He is deeply disturbed."
"302" "MIRANDA" "You're telling me?"
"303" "SECRETARY OF STATE" "...North Koreans have gone ballistic, accusing us of botching the ransom drop on purpose."
"304" "SECRETARY OF DEFENSE" "They're still harping on that "American plot" nonsense."
"305" "PRESIDENT" "Meaning?"
"306" "SECRETARY OF DEFENSE" "They say the death of the Premier's niece and her family would justify immediate retaliation."
"307" "PRESIDENT" "Are they out of their fuckin' minds?! What kind of retaliation?"
"308" "CIA CHIEF" "They're threatening to pull a Saddam Hussein: remember the Scuds he lobbed at Jerusalem during Desert Storm? They're talking about firing a missile into Los Angeles --"
"309" "PRESIDENT" "-- A goddamn WHAT??"
"310" "INTELLIGENCE OFFICER" "Best guess is an AS-15, medium-range cruise -- their version of our Tomahawk, launched from offshore."
"311" "SECRETARY OF DEFENSE" "The AS-15 is gyro-guided. It will find the city, but it's not too accurate beyond that."
"312" "VICE PRESIDENT" "Still, for their purposes it's perfect: Hit somewhere in L.A., take out a city block or two..."
"313" "SECRETARY OF STATE" "To the eyes of the world it's a measured response -- like what Reagan did to Qaddafi. But actually striking at an American city would be a huge psychological victory for them."
"314" "PRESIDENT" "I don't believe I'm hearing this! So if we know it's coming, we can knock it out of the fuckin' sky!"
"315" "SECRETARY OF DEFENSE" "These weapons fly subsonically, below radar... we don't have the defenses in place... If we'd had the time to deploy a string of Patriot anti- missile batteries across the coast --"
"316" "PRESIDENT" "-- You're saying we got all this lousy hardware and can't stop one goddamn missile??"
"317" "PRESIDENT" "I want an immediate search for all ships within range."
"318" "FBI CHIEF" "We better inform the other leaders, stall on the Summit --"
"319" "PRESIDENT" "There's no reason to panic yet -- they can't launch until after the family's confirmed dead!"
"320" "CIA CHIEF" "Afraid that's not the case..."
"321" "INTELLIGENCE OFFICER" "The North Korean Premier holds what we call a "Brinksman Switch." He's able to destroy a missile in flight, right up to the moment before it achieves its target."
"322" "CIA CHIEF" "Our Op says they've timed their retaliation to hit right after 5:00."
"323" "FBI CHIEF" "And if the family turns up okay, they'll just make it self-destruct."
"324" "PRESIDENT" "Shit! I really don't need this today!"
"325" "VICE PRESIDENT" "We're forgetting one thing here: the family. Intelligence is sure the North will abort their attack if Mrs. Han and her kids are safely returned?"
"326" "CIA CHIEF" "Absolutely. Their whole game depends on claiming a legitimate provocation."
"327" "SECRETARY OF DEFENSE" "Still, we should let them know there'd be a response... if it comes to it."
"328" "PRESIDENT" "I'd like to turn 'em into a radioactive parking lot."
"329" "SECRETARY OF STATE" "That's the problem: we can't. We're the last superpower. Our hands are tied by politics, alliances, goddamn stacks of treaties... most we could do is give 'em a "measured response" back again, or everyone starts crying that we're the bullies."
"330" "SECRETARY OF DEFENSE" "Damn, I miss the Cold War. Russians wouldn't have dreamt of pulling a stunt like this."
"331" "PRESIDENT" "Believe me, the North drops one in my fuckin' city, I'm dropping ten in theirs. Get some bombers in the air. And don't tell me any more bad news!"
"332" "ROBBINS" "...Phone company decal's a fake. DMV says the van was purchased a week ago from a private party in Santa Monica. I called 'em; they said the guy paid cash, and he fits our boy's description. Signed the name "Douglas McArthur" to the Transfer of Title."
"333" "CARSON" "Cute. He signed the name of the Allied Commander during the Korean War. Maybe he was a political."
"334" "MIRANDA" "No. The phony ice cream truck, the booby-trapped chairs... he could've"
"335" "-more-" ""
"336" "MIRANDA (Cont'd)" "done it without half that stuff. But this was going to be the score of a lifetime... he was showing off."
"337" "CARSON" "Who's got those kinds of skills: Electronics, vehicle customizing, computers, explosives?"
"338" "DAVE" "Military. Cop, maybe. Shit, your average high-school student if they're so inclined. My guess is our perp used off-the-shelf equipment for everything except the C-4, and that's only slightly harder to get than crack or heroin, if you know who to ask."
"339" "BOBBI (VO)" "Please, L.A., I know we're about to have quite a party out there, but don't forget the Golden Rule on the roadways... News time is 3:59..."
"340" "BOBBI" "This is Bobbi Marchfelder, your Eye in the Sky... back to you, Brent..."
"341" "BOBBI" "Hey, dickhead... I was backlit that entire segment! Keep... the sun... to my left!!"
"342" "BOBBI" "What's new on the kidnapping rumor?"
"343" "CAMERAMAN" "Nada. Total news blackout."
"344" "BOBBI" "Go back over the hill."
"345" "NEWS PILOT" "We got the valley traffic report in fifteen --"
"346" "BOBBI" "-- "Stalled vehicle! One lane closed! Sig alert..!" I'll improvise!"
"347" "BOBBI" "What are you lookin' at? I was the morning anchor in Houston! And I'm one break away from getting out of this stupid fuckin' whirlybird!"
"348" "JOY" "Why us?"
"349" "MRS. HAN" "You heard him -- for money."
"350" "JOY" "What if something goes wrong?"
"351" "MRS. HAN" "It won't."
"352" "CARSON" "I'm going to the kidnapping site."
"353" "MIRANDA" "I want to talk to the witnesses."
"354" "CARSON" "Great, we'll hire a bus."
"355" "DAVE" "...I know it's privileged information, goddammit! Lemme talk to a supervisor... You are a supervisor... Lemme talk to your goddamn supervisor... I told you, I'm with the FBI... Cellular company says he was using a phone with a cloned number."
"356" "SABATINI" "Big surprise. Have 'em send a list of the numbers called on the account."
"357" "DAVE" "That's what I'm trying to get. They're saying I need a subpoena. Don't put me on hold... Don't... I'm listening to Michael fuckin' Bolton!"
"358" "SABATINI" "Walther! Get on the horn to Justice and deal with this!"
"359" "ROBBINS" "A lot of the components are made by the same manufacturer -- a car security company."
"360" "CARSON (VO)" "Jump a copter to the Consulate. See if the manufacturer sells to the public. Find out what shops use their stuff; put people on the phones with a description of the perp."
